"product_name","url","origin_price","current_price"
"Delta 8 Moon Rocks Blunt – GASSY ORANGE ZEST STRAIN","https://cbdhemp.direct/products/delta-8-moon-rocks-blunt-gassy-orange-zest-strain","$14.99","$12.99"
"Delta 8 Kush Hemp Trim (1/2 LB) | 80 MG/G D8-THC","https://cbdhemp.direct/products/delta-8-kush-hemp-trim-half-pound","$59.99","$49.99"
"Delta 8 Kief Joint","https://cbdhemp.direct/products/delta-8-hemp-flower-kief-joints","$10.99 – $40.99","$10.99 – $40.99"
"Delta 8 Kief","https://cbdhemp.direct/products/delta-8-kief","$14.99 – $59.99","$14.99 – $59.99"
"Delta 8 Joints","https://cbdhemp.direct/products/delta-8-hemp-flower-flower-joints","$8.99 – $32.99","$8.99 – $32.99"
"Delta 8 Hash (1.5 grams)","https://cbdhemp.direct/products/delta-8-hash-1-5-grams","$24.99","$16.99"
"Delta 8 Glue Hemp Trim (1/2 LB) | 80 MG/G D8-THC","https://cbdhemp.direct/products/delta-8-glue-hemp-trim-1-4-lb-200-mg-cbd-80-mg-%ce%b48-thc","$59.99","$49.99"
"Delta 8 Dabs – 800 MG/G D8 THC","https://cbdhemp.direct/products/delta-8-dabs","$29.99","$29.99"
"Delta 8 Blunts","https://cbdhemp.direct/products/delta-8-hemp-flower-blunts-4-strains-available","$11.99 – $33.99","$11.99 – $33.99"
"Delta 10 THC Hemp Flower Small Buds (10 g)","https://cbdhemp.direct/products/delta-10-thc-hemp-flower-small-buds-for-sale","$22.99 – $42.99","$22.99 – $42.99"
"Delta 10 Kief Joint – CITRON STRAIN","https://cbdhemp.direct/products/delta-10-hemp-kief-joint-citron-strain","$11.99","$11.99"
"Delta 10 Asteroids Blunt – SOUR SPACE CANDY STRAIN","https://cbdhemp.direct/products/delta-10-asteroids-blunt-sour-space-candy-strain","$14.99","$12.99"
"Delta 10 Asteroids – 270 MG/G D10 THC – SOUR SPACE CANDY STRAIN","https://cbdhemp.direct/products/delta-10-thc-asteroids-hemp-for-sale","$12.99 – $119.99","$12.99 – $119.99"
"Cherry Chocolate Chip CBD Trim – 17.35% CBD","https://cbdhemp.direct/products/cherry-chocolate-chip-cbd-trim","$39.99 – $74.99","$39.99 – $74.99"
"CBG Kief (1.5 grams) – 40.6% CBG","https://cbdhemp.direct/products/cbg-kief-one-gram-forty-percent-cbg","$24.99","$12.99"
"CBG Hash (1.5 grams) – 40.6% CBG","https://cbdhemp.direct/products/cbg-hash-40-percent-cbg-hemp-flower","$27.99","$13.99"
"CBG Cigar – Desert Snow (600 MG CBG)","https://cbdhemp.direct/products/cbg-flower-cigars-3-grams-600-mg-cbg","$11.99","$11.99"
"CBG Blunt – Desert Snow | 200 MG CBG","https://cbdhemp.direct/products/cbg-flower-blunts-1-gram","$9.99","$9.99"
